,company,description,location,salary,title,hourly_salary,monthly_salary,annual_salary
1118,    Twitter,"
Twitter data scientists create increasingly sophisticated models of users and content. We create robust, production quality data pipelines, guide data analysis...","Boston, MA",,"Senior Software Engineer, Data Engineering",,,
1119,    Broad Institute,"
Additionally, the individual will be responsible for integrating genetic variation data and gene expression data into pathway network analyses....","Boston, MA",,Postdoc Associate - Computational,,,
1120,    Wayfair,"
Experienced as both a software engineer using big data sets and a data scientist, mining data sets. The mission of a Data Science analyst is to unlock deep...","Boston, MA 02116 (South End area)",,Director of Data Science,,,
1121,    Cogo Labs,"
The ability to gather and present relevant data when pitching an idea for additional investment will make Cogo a fun place to start your career....","Cambridge, MA",,Quantitative Analyst,,,
1139,"    Shook, Hardy & Bacon LLP","A Ph.D., in any of the biological sciences is preferred. Language preferences would encompass Spanish, French and Portuguese. Must have excellent written and","Kansas City, MO",,Research Analyst,,,
1140,    mPathDiscovery,"The Technical Architect analyzes the business environment, processes and data entities that support business requirements to create computing architecture and...","Kansas City, MO",,Senior Development Engineer,,,
1142,    Identified Talent Solutions,"
Translate data into business insights. Conduct data exploration, statistical analysis, and modelling. Provide feedback to management regarding data related...","Kansas City, MO",110000.0,Data Scientist -Translate data into business insights,,,110000.0
1143,    New Directions Behavioral Health,"
The Data Scientist, Sr. Demonstrated ability to think creatively about and develop solutions for technical problems related to data extraction and data creation...","Kansas City, MO",,"Data Scientist, Sr.",,,
1144,    Children's Mercy Hospitals & Clinics,"
Familiarity with programming language such as Python and data visualization tools. Responsible for modeling complex health, research, and business related...","Kansas City, MO",,Data Scientist I,,,
1145,    Sprint,"
Two years data analysis experience. Performs analysis of business processes and data that pertain to business issues....","Overland Park, KS",,Marketing Measurement Analyst / Statistician,,,
1146,"    Service Management Group, Inc.","
Prepares data and runs statistical analyses in SPSS to support market research. Service Management Group (SMG) is a leader in providing customer and employee...","Kansas City, MO",,Associate Research Analyst,,,
1147,    Catalent Pharma Solutions,"
Ability to identify aberrant/out of spec data and limited interpretation of data expected. Under general supervision, performs work that is varied and that may...","Kansas City, MO 64137 (Royal Oaks area)",,Associate Scientist,,,
1148,    The Nerdery,"
About the Data Services Team. The Nerdery is seeking a Senior Data Scientist to work on a wide variety of engagements as part of our team....","Kansas City, MO 64106 (Downtown area)",,Senior Data Scientist: Kansas City,,,
1149,    Sprint,"
Manages team of data scientists with extremely deep data mining skills, who will build and maintain predictive models that will drive profitability through...","Overland Park, KS",,"Director, Data Science",,,
1150,    Children's Mercy Hospitals & Clinics,"
Significant experience with sequencing data and technologies, sequence analysis tools and methods, bioinformatics data formats and public genomic databases....","Kansas City, MO",,Sr Bioinformatics Scientist - Genome Center,,,
1151,    Honeywell,"
Ability to interpret complex data and create easy-to-understand scorecard. Collects verifies and inputs data to support administrative plant systems....","Kansas City, MO",,Project Analyst,,,
1153,"    Shook, Hardy & Bacon LLP","Analyzes complex financial studies and underlying data regarding various economic theories and principles. Assists attorneys in developing, understanding, and...","Kansas City, MO",,Research Analyst - Economics,,,
1155,    ARCADIS,"
Simple data collection, observations, measurements and drawings. Presents findings to Engineer, Geologist or Scientist in charge of the project....","Kansas City, KS",,Senior O&M Technician/Supervisor,,,
1170,    Honeywell,"
Utilize SIEM tools to search log data and perform analysis of complex events that may impact broad areas of IT systems....","Kansas City, MO",,Senior Network Analyst,,,
1171,    Grafton Engineering Services,"
Lead Scientist, Large Molecule. Consistently provides accurate data within the framework of regulatory guidance....","Kansas City, MO",,"Lead Scientist, Large Molecule",,,
1172,    Adecco,"
This position performs routine testing on all samples in the Quality Assurance laboratory, providing analytical data for process control, quality control,...","Kansas City, MO",16.0,Chemical Technicians - Lab Testing,16.0,,
1173,    Sanford Rose Associates - Wayne,"
Quantitative Analyst, Financial Services Firm Kansas City, MS Base Salary to $140K plus excellent bonus Our client is a diversified financial services firm,","Kansas City, MO",125000.0,"Quantitative Analyst, Financial Services Firm",,,125000.0
1174,    HDR,"
Works independently on medium sized projects or assists more senior scientists on larger projects. Additional duties may include conducting biological field...","Kansas City, MO 64111 (Valentine area)",,Biologist (Part-Time),,,
1175,    Quest Diagnostics,"
Currently, we seek a Scientist, Forensic (Temp) Lenexa, KS. The Forensic Scientist I works within the Forensic Toxicology Laboratory and cooperates with and...","Lenexa, KS",,"Scientist, Forensic (Temp) Lenexa, KS",,,
1176,    Honeywell,"
Assigned to projects of diverse scope, where analysis of situation or data requires an evaluation of identifiable factors....","Kansas City, MO",,Analog Electrical Design Engineer,,,
1177,    Children's Mercy Hospitals & Clinics,"
Delegates operations to staff with respect to achievement of Center goals, including lab operations and informatics activities, data analysis, clinical...","Kansas City, MO",,Genome Center Director Dee Lyons/Missouri Endowed Chair in Pediatric Genomic Medicine,,,
1178,    ARCADIS,"
Simple data collection, observations, measurements and drawings. Presents findings to Engineer, Geologist or Scientist in charge of the project....","Kansas City, KS",,Senior O&M Technician,,,
1179,    Honeywell,"
Ability to gather, analyze, interpret data, and make recommendations to resolve problems utilizing business, technical, and manufacturing wisdom....","Kansas City, MO",,Specialist Engineering Technical,,,
1185,    Grafton Engineering Services,"
Process data, review data and write bioanalytical reports. Trouble-shoot operation or equipment related problems in lab under guidance of senior scientists....","Kansas City, MO",,Senior Analyst - Small Molecule,,,
1186,    Saint Lukes Health System,"
Correlates and interprets data based on knowledge of physiological conditions affecting test results. Performs accurate and reliable analysis requiring a...","Kansas City, MO",,Clinical Lab Scientist Microbiology PRN Evening,,,
1187,    Catalent Pharma Solutions,"
To perform checking & verifying of peers analytical data in accordance with in-house SOPs. The main activities will be to collect and analyze cleaning...","Kansas City, MO 64137 (Royal Oaks area)",,QC Associate Scientist,,,
1188,    Honeywell,"
Oversees and manages data, control and access to IPSS (Integrated Programmatic Scheduling System) across the Nuclear Security Enterprise....","Kansas City, MO",,Program Manager - Global Security - P2,,,
1189,    Commerce Bank,"
Understanding of integrated marketing campaigns involving direct mail, email, and online marketing with statistical measurement of results by a data scientist...","Kansas City, MO 64105",,Product Manager III - Consumer Card,,,
1190,    Kansys Inc.,"
Our client is seeking a talented data scientist to analyze, innovate, and optimize the algorithms and approaches we apply to our markets....","Fairway, KS",,Data Scientist,,,
1191,    Honeywell,"
Compile operational data and prepares customer application information. Analyze equipment to establish operating data and conducts experimental tests;...","Kansas City, MO",,GS Technician Engineering,,,
1192,    Vance Brothers Inc.,"
Analyze data to successful identify materials for reliable performance in various environments. The Laboratory Chemist Research Level 1 position reports...","Kansas City, MO 64130 (North Town Fork Creek area)",,Labratory Chemist Research Level 1,,,
1193,    Quest Diagnostics,"
Currently, we seek a Scientist, Forensic (Temp, Mon-Fri, evening) Lenexa, KS. The Forensic Scientist I works within the Forensic Toxicology Laboratory and...","Lenexa, KS",,"Scientist, Forensic (Temp, Mon-Fri, evening) Lenexa, KS",,,
1194,    Honeywell,"
Records and is responsible for the accuracy of inspection data. Records, test data, and other associated paperwork required to accomplish acceptance, rejection,...","Kansas City, MO",17.17,Quality Inspector,17.17,,
1200,    Honeywell,"
Ability to analyze and interpret data. Must be able to analyze and interpret data and performs identification and paperwork related to the task....","Kansas City, MO",23.36,"Inspector, Tool & Precision Gage",23.36,,
1201,    Corbion,"
Assist the other scientists in the lab with their experiments as needed. Lead projects to support sales of ingredients and support value propositions by...","Lenexa, KS",,"Applications Technologist, Microbiology",,,
1202,    HDR,"
We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....","Kansas City, MO 64111 (Valentine area)",,Sr. Process Mechanical Estimator,,,
1203,    Honeywell,"
Experience in engineering related administrative activities such as configuration management, product testing procedures & data entry preferred....","Kansas City, MO",,Engineering Technician,,,
1204,    Catalent Pharma Solutions,"
Chromatography Data Systems (e.g. Data review - To perform checking & verifying of peers analytical data in accordance with in-house SOPs....","Kansas City, MO 64137 (Royal Oaks area)",,"Senior Scientist, Large Molecule",,,
1205,    The Nerdery,"
About the Data Services Team. As a Data Scientist at The Nerdery, you'll have the opportunity to work on engagements with a wide range of clients....","Kansas City, MO 64106 (Downtown area)",,Data Scientist: Kansas City,,,
1206,    Honeywell,"
And has the possible involvement with cost and pricing data and cost accounting standards. With approximately 132,000 employees worldwide, including more than...","Kansas City, MO",,Buyer II,,,
1207,    Honeywell,"
Oversees and manages data, control and access to IPSS (Integrated Programmatic Scheduling System) across the Nuclear Security Enterprise....","Kansas City, MO",,Program Manager - Global Security Support,,,
1208,    Honeywell,"
Designs and codes complicated software used to control instrumentation, perform data analysis and report generation....","Kansas City, MO",,Software Engineer - Global Security,,,
1209,"Data Systems International, Inc. (DSI)","
Furthermore, the Data Scientist will develop the end-user tooling and dashboards for our platform’s analytics solutions....","Kansas City, MO",,Data Scientist,,,
1216,    Honeywell,"
Provides data and reporting formats for all types and levels of program reviews. Routinely uses supply chain knowledge and FM&T ERP/MRP system to gather data...","Kansas City, MO",,Sr. PP&C Analyst,,,
1217,    HDR,"
We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....","Kansas City, MO 64111 (Valentine area)",,Sr. Electrical Estimator,,,
1218,    Burns & McDonnell,"
Burns & McDonnell is seeking an entry-level assistant environmental scientist for multiple locations. General data recording and generation of maps and other...","Kansas City, MO",,Assistant Environmental Scientist,,,
1219,    Quest Diagnostics,"
B) data review processes. A Limited Certifying Scientist reviews analytical data to ensure accuracy, completeness and defensibility of testing results and...","Lenexa, KS",,"Scientist, Limited Certifying (Temp) - Lenexa, KS",,,
1220,    Sanford Rose Associates - Wayne,"
Quantitative Analyst, Kansas City Kansas City, MS Base Salary to $140K plus excellent bonus Our client is a diversified financial services firm, who is now","Kansas City, MO",140000.0,"Quantitative Research Analyst, Kansas City",,,140000.0
1221,    Grafton Engineering Services,"
Process data, review data and write bioanalytical reports. Trouble-shoot operation or equipment related problems in lab under guidance of senior scientists....","Kansas City, MO",,Junior Analyst - Small Molecule,,,
1222,"    Viracor-IBT Laboratories, Inc.","
Clinical Laboratory Scientist. Perform data entry into the Laboratory Information Management System (LIMS). The Laboratory Technician is primarily responsible...","Kansas City, MO",,CLS - Lab Tech - PRN 0616-401A,,,
1223,    Honeywell,"
Prior experience in an engineering related technical support activities such as configuration management, financial reporting, product testing procedures & data...","Kansas City, MO",,Specialist Engineering Support - GS,,,
1224,    Honeywell,"
With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...","Kansas City, MO",,IT Project Lead - PMO,,,
1225,    Department Of Agriculture,"
Evaluates, analyzes, and interprets laboratory data to determine their validity and scientific meaning. Effectively communicates scientific information to...","Kansas City, MO",68216.0,Chemist,,,68216.0
1230,"    Sekisui XenoTech, LLC","
Review and interpret data. Participate in the training of other scientists. Able to define problems, collect data, establish facts, and draw valid conclusions....","Kansas City, KS 66103",,Scientist II or higher,,,
1231,"    Viracor-IBT Laboratories, Inc.","
Clinical Laboratory Scientist. Perform data entry into the Laboratory Information Management System (LIMS). The Laboratory Technician is primarily responsible...","Kansas City, MO",,Clinical Laboratory Scientist-Lab Tech 0616-401B,,,
1232,    Commerce Bank,"
Business Line Data Scientist II (Open). Develop data models based on statistical, mathematical, and econometric theory to predict customer behavior patterns,...","Kansas City, MO 64105",,Business Line Data Scientist II,,,
1233,"    Sekisui XenoTech, LLC","
Serves as Lead Scientist or Study Director. Sekisui XenoTech, LLC is looking for a Research Scientist to join the Analytical Services team!...","Kansas City, KS 66103",,Research Scientist - Metabolite ID,,,
1234,    Sprint,"
Identifies meaningful insights from large data and metadata sources; Interacts with business partners to identify questions for data analysis and experiments....","Overland Park, KS",,Data Scientist III,,,
1235,    Hallmark,"
The Data Scientist – Pricing resides in the Category Management Center. The Data Scientist – Pricing influences pricing decisions through advanced statistical...","Kansas City, MO 64108 (Crown Center area)",,Data Scientist - Pricing,,,
1236,    Sprint,"
We make mobile data matter. Pinsight Media+ is a mobile data company. Identifies meaningful insights from large data and metadata sources;...","Kansas City, MO",,Data Scientist - Pinsight Media,,,
1237,    HDR,"
We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....","Kansas City, MO 64111 (Valentine area)",,Engineer Water Resources,,,
1238,"    Shook, Hardy & Bacon LLP","
Analyzes complex financial studies and underlying data regarding various economic theories and principles. Assists attorneys in developing, understanding, and...","Kansas City, MO 64108 (Crown Center area)",,Research Analyst - Economics,,,
1239,    H&R Block,"
Monitors and coordinates the day-to-day activities of a tax research project team to identify and resolve tax related issues; ensures adherence to research","Kansas City, MO",,Sr Tax Research Analyst,,,
1245,    Saint Lukes Health System,"
Manages pre and post-award sponsored project activities and clinical trial billing and reconciliation. Analyzes and evaluates contract and grant budgets for","Kansas City, MO",,Research Grants and Billing Analyst - SLH - Research Department,,,
1246,    Saint Lukes Health System,"
Correlates and interprets data based on knowledge of physiological conditions affecting test results. SAINT LUKE'S EAST HOSPITAL Clinical Lab Scientist performs...","Lee's Summit, MO",,Clinical Lab Scientist I- Full Time Night,,,
1247,    Saint Lukes Health System,"
Correlates and interprets data based on knowledge of physiological conditions affecting test results. Performs accurate and reliable analysis requiring a...","Overland Park, KS",,Clinical Lab Scientist I,,,
1248,    PRA Health Sciences,"
The role includes working closely with the Customer, the ETL Engineer and the Data Scientist to implement a solution via Business Intelligence software and...","Lenexa, KS",,Data Visualization Architect,,,
1249,    Honeywell,"
Manage and populate training course data in learning management system. With approximately 132,000 employees worldwide, including more than 22,000 engineers and...","Kansas City, MO",,Instructional Designer,,,
1250,    Honeywell,"
Oversees and manages data, control and access to IPSS (Integrated Programmatic Scheduling System) across the Nuclear Security Enterprise....","Kansas City, MO",,Program Manager - Assessment Services,,,
1251,    Saint Lukes Health System,"
Correlates and interprets data based on knowledge of physiological conditions affecting test results. Performs accurate and reliable analysis requiring a...","Kansas City, MO",,Clinical Lab Scientist I - Chemistry Evenings,,,
1252,    Honeywell,"
With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...","Kansas City, MO",,Flex Cable Process Engineer,,,
1253,    Clinical Reference Laboratory,"
Properly documents all review of data. Prior experience as a certifying scientist highly desirable; Some movement from office to data entry, accessioning,...","Lenexa, KS 66215",,Certifying Scientist - Negatives & Positives,,,
1254,"    Service Management Group, Inc.","
Who we are: SMG (Service Management Group) partners with over 325 brands to create 5-star human experiences that drive loyalty and profitable sales. SMG’s","Kansas City, MO",,Market Research Project Analyst,,,
1260,    The Nielsen Company,"
Correct meta data on existing song IDs. Set up new media through Corona data entry application. Research, acquire and update Social Media Data in Music Connect....","Kansas City, MO",,Analyst - Music Research (Part Time),,,
1261,    Grafton Engineering Services,"
Scientist Meat position is in the Research, Development & Applications (RDA) group based in Lenexa, KS. Scientist Meat will be member of the Meat RDA team,...","Kansas City, KS",,Senior Scientist - Meat,,,
1262,    Catalent Pharma Solutions,"
Consistently provides accurate data within the framework of regulatory guidance. The Lead Scientist has appreciable latitude for un‑reviewed action or decision....","Kansas City, MO 64137 (Royal Oaks area)",,Lead Scientist - Biologics,,,
1263,    Grafton Engineering Services,"
Chromatography Data Systems (e.g. Data review - To perform checking & verifying of peers analytical data in accordance with in-house SOPs....","Kansas City, MO",,Senior Scientist,,,
1264,    MRIGlobal,"
Principal Scientist, Toxicologist/Pharmacologist. Data analysis and review data for accuracy and completeness. Peer review of data and reports....","Kansas City, MO",,"Toxicologist, Principal Scientist",,,
1265,    Honeywell,"
With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...","Kansas City, MO",,Surface Mount Technology Process Engineer,,,
1266,    Honeywell,"
Works with engineers to facilitate online data entry for process characterizations. Knowledge of online data collection systems and demonstrated ability to...","Kansas City, MO",,Specialist Engineering Support – Quality Engineering,,,
1267,    Honeywell,"
Performs analysis of technical data. Experience using spreadsheets and other tools to analyze and interpret data....","Kansas City, MO",,Electronic Equipment Tech,,,
1268,    AutoAlert,"
Take responsibility for turning data into understanding by being active, educational, and supportive of every conversation about data....","Kansas City, MO",,Data Scientist (Kansas City),,,
1269,"    Environmental Works, Inc.","
Ability to analyze numerical and graphic data. (EWI) is currently seeking qualified candidates for the position of Associate Scientist....","Kansas City, MO",,Associate Scientist - Environmental,,,
1276,    BlueCross BlueShield of Kansas City,"
Creates and maintains Data classification, Data tagging and Data handling practices to ensure continues protection of data....","Kansas City, MO 64108 (Crown Center area)",,Data Security Architect,,,
1277,    mySidewalk,"
At the intersection of data and GIS, we’re always working on problems with numerous possible outcomes. Our future teammate will combine a love of technology...","Kansas City, MO",,Election research analyst,,,
1278,    Corbion,"
Scientist Meat will be member of the Meat RDA team, focused on development and implementation of solutions and innovations for the North American meat market....","Lenexa, KS",,"Senior Scientist, Meat",,,
1279,    MRIGlobal,"
Data mining methods. In experimental design and the application of advanced statistical and data. MRIGlobal has a current opening for a Senior Statistician in....","Kansas City, MO",,Senior Statistician,,,
1280,    Honeywell,"
Candidates with lesser experience may apply and may be considered for Scientist I or Scientist II commensurate with experience....","Kansas City, MO",,R&D Scientist,,,
1281,"    Viracor-IBT Laboratories, Inc.","
In California, must be licensed by the state of California Department of Public Health as a Clinical Laboratory Scientist....","Kansas City, MO",,Clinical Laboratory Scientist 0716-41,,,
1282,    Lifetime Fitness,"
Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....","Overland Park, KS",,Ultimate Hoops Statistician,,,
1283,    Catalent Pharma Solutions,"
Consistently provides accurate data within the framework of regulatory guidance. The Lead Scientist has appreciable latitude for unreviewed action or decision....","Kansas City, MO 64137 (Royal Oaks area)",,"Lead Scientist, Large Molecule",,,
1284,"    Pharma Resource Group, Inc.","
Associate Scientist / Associate Chemist / Associate Scientist / Scientist / Research Scientist / Analytical Scientist / Analytical Chemist / Associate Research...","Kansas City, MO",,Associate Scientist / Associate Chemist - MO,,,
1285,    Cardinal Health,"
Collaborate with Data Verification Specialist to have submission content verified. Using the client's templates for dossier sections, author CMC sections for...","Overland Park, KS 66210",,Scientist - Chemistry-Manufacturing & Control,,,
1303,"    OMNITEC Solutions, Inc","If you enjoy hands-on work with things like universal data definitions, data curation, data harmonization or data QA/QC, this is the job for you!...","Rockville, MD",,Scientific Data Analyst / Curator,,,
1304,    Deloitte,"Data Scientist, Market Development (Senior Consultant). The Data Scientist will play a key role developing deeply analytical research products aimed at changing...","Arlington, VA",,"Senior Consultant, Data Scientist",,,
1305,    Net ESolutions Corporation (NETE),NETE is seeking a detailed oriented Tableau Data Visualization Analyst to join our great data team. Reasons independently - complex data architectures....,"Rockville, MD",,Tableau Data Visualization Analyst,,,
1306,"    University of Maryland, Baltimore","
Compile and analyze data; Skill in data management software. Skill in data analysis and statistical. Duties include performing and supervising data collection;...","Baltimore, MD",,Statistician,,,
1307,    Sinclair Broadcast Group,"
Identify and prioritize enterprise data analytics opportunities. Strong knowledge of business intelligence and data warehousing....","Hunt Valley, MD",,Data Scientist,,,
1308,    The Taylor-Wilks Group,"
Excellent quantitative and data management skills, including statistical analysis and experience creating graphical representations of data....","Baltimore, MD 21218 (Midway-Coldstream area)",30000.0,Research Analyst,,,30000.0
1309,"    Resolute Technologies, LLC","
An understanding of SIGINT processing systems, data flows, data formats, and analysis is strongly desired. Architect a prototype to characterize data sets and...","Hanover, MD",190000.0,Machine Learning Scientist/Architect - TS/SCI with Poly required,,,190000.0
1310,"    eHire, LLC","
Senior Data Scientist*. A strong understanding of data profiling and data cleansing techniques. The Senior Data Scientist is responsible for collecting data and...","Towson, MD",,Senior Data Scientist - perm in Towson,,,
1311,    Krew Enterprises,"
Ability to explore and analyze data aggregated from multiple data sources. High growth company focused on using data science to transform the way individuals...","Baltimore, MD",,Mid - Senior Level Data Scientist,,,
1312,    Orbis Technologies,"
Orbis Technologies, Inc., a growing software development company specializing in cloud based data analytical products, has a career opportunity in Annapolis,...","Annapolis, MD 21401",,Data Scientist,,,
1313,    Johns Hopkins University,"
Responsible for data cleaning, data submissions and data quality control based on protocol. Data handling and oversee data process monitoring....","Baltimore, MD",25.695,Research Data Analyst,25.695,,
1314,    WSSC,"
Ability to plan and direct the work of professional engineers and scientists; Directs engineers, scientists, technicians and other employees in the study and...","Laurel, MD 20707",124297.5,Principal Scientist-Environmental,,,124297.5
1315,    Johns Hopkins University,"
Open Data and Performance Management Programs - (70%). Provide direct, on-the-ground support to city practitioners who are implementing open data and...","Baltimore, MD",67373.5,Sr. Research Data Analyst,,,67373.5
1316,    The Johns Hopkins Applied Physics Laboratory,"Extensive experience with data transformation/conversion – extracting, transforming, parsing, porting data into defined data structures....","Laurel, MD",,Lead Data Scientist,,,
1317,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Washington, DC",,Data Scientist – Predictive Analytics,,,
1320,    Sinclair Broadcast Group,"
Expertly transform data to SOAP/REST endpoints. Specialized training in Data analytics and visualization. Great at accurately painting a picture with data....","Hunt Valley, MD",,IT Integrations & Reporting Specialist,,,
1321,    Stinger Ghaffarian Technologies,"
A talented software engineer is needed on SGT's EED-2 (EOSDIS Evolution and Development) team which supports NASA in its mission to provide scientists and other...","Riverdale, MD",,Software Engineer,,,
1322,    EA Engineering Science and Technology,"
Collaboration with EA’s multi-disciplined scientists, engineers, and technical specialists nationwide is anticipated....","Hunt Valley, MD",,Engineer III,,,
1323,    Cray,"
Ability to gather data, perform analysis and escalate to a higher level of support. CRAY) provides innovative systems and solutions enabling scientists and...","Columbia, MD 21045",,Systems Engineer,,,
1324,    University of Maryland Medical Center,"
Data submission process; Strong knowledge of Data management systems clinical data analysis and reporting; Data quality and cleaning;...","Baltimore, MD",,Proton Center Research Data Analyst - Proton Center,,,
1325,    General Dynamics Mission Systems,"
General Dynamics Mission Systems has an immediate opening for a Data Scientist to join our team. The Data Scientist’s role would be to insert data science...","Annapolis Junction, MD",,Senior Data Scientist,,,
1326,    Johns Hopkins University,"
Performs data analysis and interpretation. This person will be involved in training other individuals, such as graduate students, visiting scientists or post...","Baltimore, MD",43123.5,Research Specialist,,,43123.5
1327,    Baltimore County Public Schools,"
Knowledge of and skill in data analysis. Knowledge of and facility with social studies literacies, College and Career Readiness standards, C3 standards, 21 st...","Towson, MD 21204",,"Coordinator, Elementary Social Studies",,,
1328,    KEYW Corporation,"
Develops cost-benefit analysis, data collection, data analysis, risk analysis, simulation model execution, economic analysis, and operational effectiveness...","Fort Meade, MD",,Operations Research Analyst,,,
1329,    Honeywell,"
Develops test routines and data. Performs routine technical tasks using standard programming methods and techniques....","Greenbelt, MD",,SETS Scientist 1,,,
1335,    Johns Hopkins University,"
The Sr. Research Service Analyst will coordinate all activities related to sponsored project submissions for the Division of Hematology in the Department of","Baltimore, MD",57329.0,Sr. Research Service Analyst,,,57329.0
1336,"    Personal Genome Diagnostics, Inc.","
We are looking for an extraordinary and highly motivated scientist to play a key role in our analysis team....","Baltimore, MD 21224 (Bayview area)",,Genome Sciences Scientist,,,
1337,    Vici Health Sciences,"
Review analytical raw data and documents. Knowledge of chromatography data systems, such as Waters Empower, HP Chem Station or other laboratory software....","Elkridge, MD 21075",,Analytical Scientist,,,
1338,    The Johns Hopkins Applied Physics Laboratory,"
Analyze data, synthesize results, and make needed recommendations. Consistently work to improve methodology and focus on obtaining highest quality data....","Laurel, MD",,Optical Scientist/Engineer,,,
1339,    Johns Hopkins University,"
These efforts represent partnerships between neuroscientists, engineers, and data scientists in clear. Work closely with leading scientists....","Baltimore, MD",78483.0,Project Administrator,,,78483.0
1340,    Leidos,"
Experience with Data Manipulation/Scripting (PERL, SQL, PL/SQL, EXEL API, shell scripting). Science or related field or 5 years of computer scientist...","Columbia, MD",,Computer Scientist - Python,,,
1341,    Leidos,"
Experience with Data Manipulation/Scripting (PERL, SQL, PL/SQL, EXEL API, shell scripting). Science or related field or 5 years of computer scientist...","Columbia, MD",,Computer Scientist - C,,,
1342,    SAIC,"
Support Scientist (Job Number:. SUPPORT SCIENTIST to support the Hydrological Sciences Laboratory at NASA Goddard Space Flight Center in Greenbelt, Maryland....","Greenbelt, MD",,Support Scientist Job,,,
1343,"    Applied Sciences & Information Systems, Inc.","
Data collection, tracking, and reporting; (AScIS) is seeking an Environmental Scientist to perform Hazardous Waste Management duties such as on-site collection,...","Greenbelt, MD 20771",,Environmental Scientist,,,
1344,    The Johns Hopkins Applied Physics Laboratory,"
Perform exploratory analysis and pre-processing of data sources with the intent of visualizing data and discovering statistical properties and other key...","Laurel, MD",,Machine Learning Developer,,,
1350,    WMHCPH,"
LC-MS/MS) data analysis for a variety of compounds.*. Analyzing/ quantifying the multiple analytes data using Analyst software....","Baltimore, MD",,Certifying Scientist,,,
1351,    Merkle Inc.,"
Could blend into MI or Data Scientist responsibilities. External Data Enhancement. Data Analysis and Mining....","Columbia, MD 21046",,Lead Analyst,,,
1352,"    University of Maryland, Baltimore","
Ability to work with a multidisciplinary team of scientists and staff. The successful candidate will serve as in-country scientist at the Department of Medical...","Baltimore, MD",,Research Associate - Geographic Medicine & Institute for Global Health,,,
1353,"    Akimeka, LLC","
Enter and manage data in Excel spreadsheets and models. Energetics Incorporated is accepting applications for a senior-level Engineering/Science position for...","Columbia, MD",,Senior-Level Engineer/Scientist,,,
1354,    ASRC Federal,"
Prepare presentation charts and reports and participate in project reviews to include presenting schedule data....","Greenbelt, MD",,Scheduler IV,,,
1355,"    University of Maryland, Baltimore","
Formal training in genomics, cancer and nutrition epidemiology and ability to analyze large cohort and genomics data is required....","Baltimore, MD 21201 (Downtown area)",,Assistant Professor - Department of Epidemiology and Public Health,,,
1356,"    University of Maryland, Baltimore","
Duties include performing and/or supervising data collection. Develop effective methods of data collection and assessment....","Baltimore, MD",,Senior Research Analyst,,,
1357,    Johns Hopkins University,"
And experience with scientific data. We are seeking a postdoctoral research scientist with a strong background in scientific software development to be a member...","Baltimore, MD",,Assistant Research Scientist,,,
1358,    VERSAR,"
Data analysis using ArcGIS, hydraulic/hydrologic and water quality models (e.g., HEC-RAS, TR-20/55, SWMM), and other analytical tools....","Columbia, MD",,Watershed Environmental Scientist/Engineer,,,
1359,    Lifetime Fitness,"
Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....","Columbia, MD",,Ultimate Hoops Statistician,,,
1365,    Howard Community College,"
Maintain data dictionary to standardize variable names for data files, track data definitions in college's administrative information systems, and monitor data...","Columbia, MD",46332.0,Research Analyst - Learning Outcomes Assessment,,,46332.0
1366,    The Johns Hopkins Applied Physics Laboratory,"
Support operationalization of techniques through field integration and testing activities, data analysis, and lab experimentation, as required....","Laurel, MD",,Remote Sensing Scientist,,,
1367,    National Aeronautics and Space Administration,"
As Research Physical Scientist, specializing in Climate and Radiation Studies, you will be a research scientist responsible for performing research on how...","Greenbelt, MD",116850.0,"Research Physical Scientist, AST, Climate and Radiation Studies",,,116850.0
1368,    Johns Hopkins University,"
Create and review sponsored budgets, budget justifications, and other administrative/financial data for submission to appropriate funding agencies....","Baltimore, MD",48201.0,Research Service Analyst,,,48201.0
1369,    Health Integrity LLC,"
Reports are drafted by teams with leadership of Data Scientists. Collects and researches data; Data analysis and modeling, including data preparation and...","Columbia, MD",,Predictive Modeler/Data Analyst - Medicaid,,,
1370,    BioStaff Solutions,"
(Excellent salary, bonus, benefits and will provide H1-B Visa Transfer) The Principal Statistician oversees statistical aspects in the design and analysis of","Baltimore, MD",,Principal Statistician,,,
1371,    IMPAQ International,"
This will include SAS programming, developing reports and output of data, data preparation and processing, data analysis, descriptive statistics, report writing...","Columbia, MD 21044",,Senior Research Analyst - SAS Programmer,,,
1372,    Merkle Inc.,"
Provide data support to our Strategy teams by leveraging a broad-based Insights platform to access appropriate data leveraging data access tools such as SQL and...","Columbia, MD 21046",,AA - Sr Statistician,,,
